code,ชื่อ,ชื่อวิทยาศาสตร์,หมวด,ขนาดโตเต็มที่,ทรงพุ่มกว้าง (ม.),ห่างกำแพงอย่างน้อย (ม.),ข้อควรระวัง (คั่นด้วย |),ต้องดูแลอย่างไร,น้ำท่วมขัง yes/no
TL-020,พญาสัตบรรณ,Alstonia scholaris,ไม้ระดับสูง,10–20 ม.,,,,,
TL-021,สะเดา,Azadirachta indica,ไม้ระดับสูง,8–15 ม.,,,,,
HG-004,ข่อย,Streblus asper,ไม้ริมรั้ว,2–5 ม.,,,,,
HG-007,เทียนทอง,Duranta erecta 'Golden',ไม้ริมรั้ว,0.5–2 ม.,,,,,
HG-010,พู่ระหง,Hibiscus schizopetalus,ไม้ริมรั้ว,2–3 ม.,,,,,
HG-011,ทองอุไร,Tecoma stans,ไม้ริมรั้ว,2–4 ม.,,,,,
HG-017,ไผ่น้ำเต้า,Bambusa vulgaris 'Wamin',ไม้ริมรั้ว,2–4 ม.,,,,,
HG-018,สนประดิพัทธ์,Casuarina junghuhniana,ไม้ริมรั้ว,5–15 ม.,,,,,
GC-002,หญ้ามาเลเซีย,Zoysia japonica,ไม้คลุมดิน,8–15 ซม.,,,,,
GC-003,หญ้าญี่ปุ่น,Zoysia tenuifolia,ไม้คลุมดิน,3–8 ซม.,,,,,
GC-005,ผักเป็ดแดง,Alternanthera ficoidea,ไม้คลุมดิน,15–25 ซม.,,,,,
GC-008,ว่านกาบหอยแคระ,Tradescantia spathacea 'Dwarf',ไม้คลุมดิน,15–25 ซม.,,,,,
GC-009,คุณนายตื่นสาย,Portulaca grandiflora,ไม้คลุมดิน,10–20 ซม.,,,,,
GC-010,ผกากรองเลื้อย,Lantana montevidensis,ไม้คลุมดิน,20–40 ซม.,,,,,
GC-012,เฟินก้างปลา,Nephrolepis spp.,ไม้คลุมดิน,30–50 ซม.,,,,,
GC-014,บัวดิน,Zephyranthes spp.,ไม้คลุมดิน,20–30 ซม.,,,,,
GC-015,หญ้าแฝก,Chrysopogon zizanioides,ไม้คลุมดิน,1–1.5 ม.,,,,,
SH-001,ชวนชม,Adenium obesum,ไม้ระดับต่ำ,0.5–1.5 ม.,,,,,
SH-005,เขียวหมื่นปี,Aglaonema spp.,ไม้ระดับต่ำ,0.4–0.8 ม.,,,,,
SH-010,มะลิลา,Jasminum sambac,ไม้ระดับต่ำ,0.5–1.5 ม.,,,,,
SH-011,แก้วแคระ,Murraya paniculata 'Dwarf',ไม้ระดับต่ำ,0.5–1 ม.,,,,,
SH-014,แพงพวยฝรั่ง,Catharanthus roseus,ไม้ระดับต่ำ,0.3–0.6 ม.,,,,,
SH-015,เฮลิโคเนีย,Heliconia spp.,ไม้ระดับต่ำ,1–3 ม.,,,,,
SH-016,หน้าวัว,Anthurium andraeanum,ไม้ระดับต่ำ,0.3–0.6 ม.,,,,,
SH-017,เดหลี,Spathiphyllum spp.,ไม้ระดับต่ำ,0.4–0.8 ม.,,,,,
SH-018,บอนสี,Caladium bicolor,ไม้ระดับต่ำ,0.3–0.6 ม.,,,,,
SH-019,ว่านหางจระเข้,Aloe vera,ไม้ระดับต่ำ,0.3–0.6 ม.,,,,,
SH-021,เล็บครุฑ,Polyscias spp.,ไม้ระดับต่ำ,1–2.5 ม.,,,,,
ST-001,หินกาบ,Slate,หิน,แผ่นหนา 1–3 ซม.,,,,,
ST-002,หินกรวดแม่น้ำ,River pebble,หิน,1–5 ซม.,,,,,
ST-003,หินเกล็ดขาว,Marble chips,หิน,1–2 ซม.,,,,,
ST-004,หินภูเขาไฟ,Volcanic rock,หิน,0.5–3 ซม. / ก้อนใหญ่,,,,,
ST-005,ศิลาแลง,Laterite,หิน,ก้อน/แผ่น 20–40 ซม.,,,,,
ST-006,หินทรายเหลือง,Sandstone,หิน,แผ่น/แท่ง,,,,,
ST-010,หินแกรนิต,Granite,หิน,แผ่น/แท่ง,,,,,
TL-027,แก้วเจ้าจอม,Guaiacum officinale,ไม้ระดับสูง,5–10 ม.,,,,,
TL-028,หลิวออสเตรเลีย,Agonis flexuosa,ไม้ระดับสูง,5–10 ม.,,,,,
TL-030,สนเกรวิลเลีย,Grevillea robusta,ไม้ระดับสูง,8–15 ม.,,,,,
TL-031,อินทผาลัม,Phoenix dactylifera,ไม้ระดับสูง,6–15 ม.,,,,,
HG-020,สนไซเปรส,Cupressus spp.,ไม้ริมรั้ว,1.5–5 ม.,,,,,
SH-022,ต้อยติ่งฝรั่ง,Ruellia simplex,ไม้ระดับต่ำ,0.6–1 ม.,,,,,
SH-023,นีออน,Leucophyllum frutescens,ไม้ระดับต่ำ,1–1.5 ม.,,,,,
SH-024,พยับหมอก,Plumbago auriculata,ไม้ระดับต่ำ,1–2 ม.,,,,,
SH-026,อากาเว่,Agave spp.,ไม้ระดับต่ำ,0.5–1.5 ม.,,,,,
SH-027,ปริกหางกระรอก,Asparagus densiflorus 'Myersii',ไม้ระดับต่ำ,0.5–1 ม.,,,,,
SH-028,เบญจมาศเงิน,Crossostephium chinense,ไม้ระดับต่ำ,0.3–0.6 ม.,,,,,
SH-030,บลูซัลเวีย,Salvia farinacea,ไม้ระดับต่ำ,0.3–0.6 ม.,,,,,
GC-016,ถั่วบราซิล,Arachis pintoi,ไม้คลุมดิน,10–20 ซม.,,,,,
ST-012,ทรายหยาบ,Coarse sand,หิน,เม็ด 0.5–2 มม.,,,,,
ST-013,หินเกล็ด,Crushed stone,หิน,"3/8""–3/4""",,,,,
ST-014,ศิลาเหลี่ยม,Granite kerb,หิน,10×40×6 ซม.,,,,,
